"brand","model","regdate","max","min","count","average","median"
"benelli","dòng khác","2010","14500000","2500000","85","10151764.705882354","14500000"
"benelli","dòng khác","2011","27000000","4500000","102","14300980.392156864","17000000.0"
"benelli","dòng khác","2012","27000000","3200000","46","16613043.47826087","16000000.0"
"benelli","dòng khác","2013","400000000","3500000","40","147587500.0","22000000.0"
"benelli","dòng khác","2014","40000000","4000000","5","13620000.0","6500000"
"benelli","dòng khác","2015","70000000","1237000","217","13894179.723502304","13900000"
"benelli","dòng khác","2016","68000000","4500000","310","19909032.258064516","15000000.0"
"benelli","dòng khác","2017","570000000","2500000","662","27101287.009063445","22000000.0"
"benelli","dòng khác","2018","330000000","2000000","1804","60245541.01995566","42500000.0"
"benelli","dòng khác","2019","138000000","5000000","1066","49977016.88555347","33700000.0"
"benelli","dòng khác","2020","158800000","1000000","1331","72353628.85048835","62800000"
"benelli","dòng khác","2021","158800000","18800000","243","48260082.304526746","19000000"
"benelli","dòng khác (nhập khẩu)","2010","10000000","10000000","40","10000000.0","10000000.0"
"benelli","dòng khác (nhập khẩu)","2012","24800000","24800000","2","24800000.0","24800000.0"
"benelli","dòng khác (nhập khẩu)","2020","24500000","24500000","104","24500000.0","24500000.0"
"benelli","pepe","2010","4000000","4000000","1","4000000.0","4000000"
"benelli","pepe","2014","1750000","1750000","1","1750000.0","1750000"
"benelli","pepe","2015","15000000","15000000","1","15000000.0","15000000"
"benelli","pepe","2017","19000000","19000000","1","19000000.0","19000000"
"benelli","pepe","2018","25000000","22500000","33","23530303.03030303","24000000"
"benelli","rfs","2012","35000000","35000000","58","35000000.0","35000000.0"
"benelli","rfs","2016","7500000","7500000","1","7500000.0","7500000"
"benelli","rfs","2017","40500000","25300000","16","26512500.0","25300000.0"
"benelli","rfs","2018","17000000","14000000","41","16926829.268292684","17000000"
"benelli","rfs","2019","27000000","27000000","104","27000000.0","27000000.0"
"benelli","t15","2012","16500000","16500000","1","16500000.0","16500000"
"benelli","t15","2013","19500000","19500000","1","19500000.0","19500000"
"benelli","t15","2014","33000000","23800000","2","28400000.0","28400000.0"
"benelli","t15","2015","31500000","16500000","2","24000000.0","24000000.0"
"benelli","t15","2016","40000000","2400000","115","20526086.95652174","20000000"
"benelli","t15","2017","35000000","17000000","787","21874205.84498094","22500000"
"benelli","t15","2018","31500000","1000","428","22619004.672897197","23000000.0"
"benelli","t15","2019","32500000","13000000","298","22649664.4295302","21500000.0"
"benelli","t15","2020","19800000","2500000","44","14775000.0","18900000.0"
"benelli","t15 (nhập khẩu)","2017","14700000","14700000","3","14700000.0","14700000"
"benelli","tnt","2008","25000000","25000000","1","25000000.0","25000000"
